id,aabb_scale,total_mass,cx,cy,cz,ixx,iyy,izz,ixy,iyz,izx,pixx,piyy,pizz,rx,ry,rz
hammar,0.16580505467289,0.775890619903491,0.00524497991004859,1.84507839817208E-07,0.104647874757845,0.00539748849579007,0.00603033931520537,0.000747564673439824,4.12112953204298E-09,-1.35032554249043E-09,-0.000178405116534866,0.0054043233754806,0.00603033931523342,0.000740729793721248,2.25495486712777E-07,-0.0382922803233884,6.65221282352628E-06
component_name,mass,mass_density
handle:1,0.183118989102275,760
head:1,0.592771630801215,7850
