object,condition,seed,parameter,gt,estimate,signed_error,abs_error,abs_error_percent,l2,relative_residual,regressor_condition_number,frames
hammer,A_clean,1,mass,1.11609903217039,1.116096388492388,-2.643678002067773e-06,2.643678002067773e-06,0.00023686769057821154,0.0006849529307809264,5.9060417667360584e-05,41.28225961886123,600
hammer,A_clean,1,mx,5.463067398699198e-09,-1.055418690954109e-07,-1.1100493649411009e-07,1.1100493649411009e-07,2031.915925484304,0.0006849529307809264,5.9060417667360584e-05,41.28225961886123,600
hammer,A_clean,1,my,-5.371818220316982e-09,-6.803761065419825e-08,-6.266579243388127e-08,6.266579243388127e-08,1166.5657671897816,0.0006849529307809264,5.9060417667360584e-05,41.28225961886123,600
hammer,A_clean,1,mz,0.17029925270232096,0.1696653477539359,-0.0006339049483850556,0.0006339049483850556,0.37223002351813395,0.0006849529307809264,5.9060417667360584e-05,41.28225961886123,600
hammer,A_clean,1,ixx,0.03294963581767361,0.03274557270440046,-0.0002040631132731452,0.0002040631132731452,0.6193182662240209,0.0006849529307809264,5.9060417667360584e-05,41.28225961886123,600
hammer,A_clean,1,iyy,0.032218969073453105,0.03207306641256155,-0.00014590266089155313,0.00014590266089155313,0.4528470807334738,0.0006849529307809264,5.9060417667360584e-05,41.28225961886123,600
hammer,A_clean,1,izz,0.0010008013920130541,0.0010000832681232716,-7.181238897825768e-07,7.181238897825768e-07,0.07175488518637171,0.0006849529307809264,5.9060417667360584e-05,41.28225961886123,600
hammer,A_clean,1,ixy,-4.736694527039731e-12,6.592778059625011e-05,6.592778533294464e-05,6.592778533294464e-05,1391852165.1880138,0.0006849529307809264,5.9060417667360584e-05,41.28225961886123,600
hammer,A_clean,1,iyz,8.79648952450325e-10,-1.989152270895126e-06,-1.990031919847576e-06,1.990031919847576e-06,226230.23813126815,0.0006849529307809264,5.9060417667360584e-05,41.28225961886123,600
hammer,A_clean,1,izx,-1.0880179826158104e-09,-6.144300045122183e-06,-6.143212027139567e-06,6.143212027139567e-06,564624.1261904578,0.0006849529307809264,5.9060417667360584e-05,41.28225961886123,600
