id,aabb_scale,total_mass,cx,cy,cz,ixx,iyy,izz,ixy,iyz,izx,pixx,piyy,pizz,rx,ry,rz
tilted-chef-knife-1.snapshot.3,0.11870238646503203,0.17749510818463957,-0.006840350334186442,0.011728527468914512,0.011728978745347991,0.0012171744888259499,0.0006268582468289665,0.0006268606695557032,1.674688880195178E-05,-0.0006077136617493976,1.6747420980121488E-05,0.0012176425204620043,1.867776479623293E-05,0.0012345731199523823,-0.7853967001447346,-2.361142477742168E-05,-0.019758895318054956
component_name,mass,mass_density
quarter_pi_ref_lines:1,0,NaN
BLADE:1,0.14427874811063607,8.000000000000002E-09
HANDLE_LH:1,0.009980401285771778,5.500000000000002E-10
HANDLE_RH:1,0.009980401285491908,5.500000000000002E-10
ROD:1,0.004418519167579955,7.850000000000002E-09
ROD:2,0.004418519167579955,7.850000000000002E-09
ROD:3,0.004418519167579955,7.850000000000002E-09
