id,aabb_scale,total_mass,cx,cy,cz,ixx,iyy,izz,ixy,iyz,izx,pixx,piyy,pizz,rx,ry,rz
screwdriver-87.snapshot.2,0.0899999999999999,0.04961262163138,-1.07493443932332E-09,-2.9371493791198E-08,-0.017203585395295,0.00010509433920731,0.0001050875879908,1.35198583349211E-06,-1.5943245938758E-12,-5.12816599169871E-11,-2.80896956232095E-10,0.000105094339208447,0.000105087587990448,1.35198583270619E-06,4.94215606205975E-07,-2.7075454994523E-06,0.000236133063795473
component_name,mass,mass_density
Solid1:1,0.0247667481879859,8000
Solid2:1,0.0248458734433942,899
