id,aabb_scale,total_mass,cx,cy,cz,ixx,iyy,izz,ixy,iyz,izx,pixx,piyy,pizz,rx,ry,rz
sledgehammer-tilted,0.168605689878007,1.11609903217039,-0.0484587757911808,-0.0484587712091614,0.122416972301881,0.00560532818429496,0.00560532869983137,0.00298874560002903,-0.000628638731897752,0.00198794391997664,0.00198794444711563,0.00696463391818147,0.00623396717396096,0.00100080139201294,-0.46364755392964,0.420534406030101,-0.886077094826169
component_name,mass,mass_density
Slegdehammer:2,0.981248158397403,7730
titlteld_plane:1,0,NaN
Handle:1,0.134850873772987,630
