id,aabb_scale,total_mass,cx,cy,cz,ixx,iyy,izz,ixy,iyz,izx,pixx,piyy,pizz,rx,ry,rz
MARTELO 2kg,0.22500000058293,2.49794124313455,8.06059952354407E-08,2.37134938036077E-07,-0.161693735994628,0.0284353896665928,0.0258433286209377,0.00361612138940833,-2.69228432073808E-08,3.41765784511344E-08,1.08433819314222E-08,0.0284353896668772,0.0258433286207106,0.00361612138935104,-1.53756590383543E-06,4.36733689598827E-07,1.03866331243881E-05
component_name,mass,mass_density
CABEÇA DO MARTELO:1,2.03398621108392,7730
CABO DO MARTELO:1,0.421508164104345,760
CUNHA:1,0.0301912846211679,7730
PINO DA CUNHA:1,0.0122555833251148,7730
