id,aabb_scale,total_mass,cx,cy,cz,ixx,iyy,izz,ixy,iyz,izx,pixx,piyy,pizz,rx,ry,rz
office-school-paper-scissors-1.snapshot.2,0.0907535845928556,0.0793207001648566,0.0101104586639897,0.00725737315610419,0.00529859428719879,0.000184542097876575,0.000154764986145657,8.13899154442963E-05,-2.37837809358492E-05,7.87555235560276E-05,4.91276938658441E-05,0.000197116842943024,0.000209632998944727,1.39471575787782E-05,-0.556850727986674,0.308029098962245,0.659044893916334
component_name,mass,mass_density
titlteld_plane:1,0,NaN
screw tube:1,0.000438656577516401,8000
screw lock:1,0.000228532329314253,8000
left knife:1,0.0193433707999498,8000
Part14:1,0.0208889316666957,1060
right knife:1,0.0188358909420619,8000
Part4:1,0.0195370441544808,1060
Part10:1,4.82736948377053E-05,1060
