id,aabb_scale,total_mass,cx,cy,cz,ixx,iyy,izz,ixy,iyz,izx,pixx,piyy,pizz,rx,ry,rz
kill-la-kill-scissor-blades-1.snapshot.4,0.551806240898262,16.0534014705016,-0.130705397508204,-0.106159606126675,0.21515413532645,1.15699608533253,1.35061872040591,0.65615802936964,-0.134069146614206,0.371508482316638,0.551847786453661,1.5809578562231,1.40879431829812,0.174020660586856,-0.368129315083932,0.520236360172188,-0.874627665884407
component_name,mass,mass_density
titlteld_plane:1,0,NaN
Nui Harime's Scissor Blade:1,10.9056023515607,8000
Ryuko Matoi's Scissor Blade:1,4.88574024051399,3180
Bolt:1,0.238321688798963,8000
Nut:1,0.023737189627917,3180
