id,aabb_scale,total_mass,cx,cy,cz,ixx,iyy,izz,ixy,iyz,izx,pixx,piyy,pizz,rx,ry,rz
screwdriver-87.snapshot.2,0.0787739089910569,0.0279417169668924,0.0121404299403475,0.0126711304117914,-0.0275412337823862,2.82588420550481E-05,2.82588727468949E-05,1.2073240000232E-05,-5.39494001727304E-06,1.07906899498629E-05,1.07907045858617E-05,3.36546213318428E-05,3.36537973661064E-05,1.28253610422575E-06,-0.46364748422308,0.420534932621128,-0.894032554151621
component_name,mass,mass_density
titlteld_plane:1,0,NaN
Solid1:1,0.00309584352349823,1000
Solid2:1,0.0248458734433942,899
