id,aabb_scale,total_mass,cx,cy,cz,ixx,iyy,izz,ixy,iyz,izx,pixx,piyy,pizz,rx,ry,rz
office-school-paper-scissors-1.snapshot.2,0.105713250547435,0.0793207001648566,-0.00492949029540053,0.000132306661490182,0.0107404332883979,0.000196393280286762,0.000209557507444523,1.45973116652486E-05,7.21853316936311E-08,-2.4818944776439E-07,-1.31039997585897E-05,0.000197332311042043,0.000209558466269119,1.36573220853712E-05,0.0012404978768573,-0.071586939641075,0.00725255861049069
component_name,mass,mass_density
screw tube:1,0.000438656577516401,8000
screw lock:1,0.000228532329314253,8000
left knife:1,0.0193433707999498,8000
Part14:1,0.0208889316666957,1060
right knife:1,0.0188358909420619,8000
Part4:1,0.0195370441544808,1060
Part10:1,4.82736948377053E-05,1060
