id,aabb_scale,total_mass,cx,cy,cz,ixx,iyy,izz,ixy,iyz,izx,pixx,piyy,pizz,rx,ry,rz
tilt-lodge-l5sk3-cast-iron-skillet-1.snapshot.5,0.19127238431096139,1.5876844913139316,0.02745600839314899,0.027463832274572136,-0.004754687351916887,0.006963991353454019,0.006964687247059661,0.013001628941371513,-0.0019564543337217562,0.0004655398107058351,0.00046589474004660316,0.00495398281553928,0.00892079365608721,0.013055531070258707,0.05776760273386625,-0.057747176614993796,-0.7869722749443299
component_name,mass,mass_density
quarter_pi_ref_lines:1,0,NaN
Lodge L5SK3 Cast Iron Skillet:1,1.5876844913139316,7.150000000000001E-09
