id,aabb_scale,total_mass,cx,cy,cz,ixx,iyy,izz,ixy,iyz,izx,pixx,piyy,pizz,rx,ry,rz
wooden-dining-table-1.snapshot.2,0.9999999999999906,39.846330526816274,0.01372500296938038,-0.0004878106705944802,0.25762152459609,5.664927413186819,21.507822647285753,24.313441617846326,0.0002801117371100756,-0.0020894017039925503,-0.02620533626987729,5.664890584047694,21.50782109555295,24.313479998718257,-0.0007448503771826574,0.0014052197251889604,1.644853998762498E-05
component_name,mass,mass_density
leg:1,2.497532162263443,6.3E-10
leg:2,2.497532162263443,6.3E-10
leg:3,2.497532162263443,6.3E-10
leg:4,2.497532162263443,6.3E-10
connector:1,1.4698765706334105,6.300000000000001E-10
connector:2,1.4698765706334105,6.300000000000001E-10
connectorlong:1,1.41092859678242,6.300000000000001E-10
connectorlong:2,1.41092859678242,6.300000000000001E-10
cava:1,0.5629176000000055,6.300000000000001E-10
cava1810:1,1.561404315314281,6.300000000000001E-10
cava1810:2,1.561404315314281,6.300000000000001E-10
tablesurface:1,20.40886531230227,6.300000000000001E-10
