id,aabb_scale,total_mass,cx,cy,cz,ixx,iyy,izz,ixy,iyz,izx,pixx,piyy,pizz,rx,ry,rz
teapot_glass_lid_polypropylene,0.0911992071249685,0.323753193704971,-0.00781948145930704,4.07460986131826E-08,-0.0166508704394568,0.000449852043038083,0.000556106718274482,0.000678140132252446,-7.33455360794968E-10,-9.91150425152782E-11,1.66104050439351E-06,0.000449839957823003,0.000556106718279444,0.000678152217462563,-8.55876832054545E-07,-0.00727555816134156,-6.88881826251609E-06
component_name,mass,mass_density
pot:1,0.305744120840899,2180
lid:1,0.0180090728640715,899
