id,aabb_scale,total_mass,cx,cy,cz,ixx,iyy,izz,ixy,iyz,izx,pixx,piyy,pizz,rx,ry,rz
sledgehammer,0.19500481217605858,1.1142079420933226,5.1052834020719644E-09,-4.78376634722908E-09,0.15539696984863596,0.006280263597311732,0.005538699505266088,0.0010144926253246112,-4.4940633745868405E-12,7.394847191322715E-11,-2.2672610702541617E-10,0.006280263597311741,0.005538699505266088,0.0010144926253246016,0,-4.2146848510894035E-08,0
component_name,mass,mass_density
handle:1,0.11772695329389009,5.500000000000002E-10
head:1,0.9964809887994326,7.85E-09
