frame,source_index,time_s,qpos_J1_m,qpos_J2_m,qpos_J3_m,qpos_J4_rad,qpos_J5_rad,qpos_J6_rad,qvel_J1_ms,qvel_J2_ms,qvel_J3_ms,qvel_J4_rads,qvel_J5_rads,qvel_J6_rads,qacc_J1_ms2,qacc_J2_ms2,qacc_J3_ms2,qacc_J4_rads2,qacc_J5_rads2,qacc_J6_rads2
14,28,0.466667,-2.25602124153e-05,-4.69967633015e-05,-1.97970470663e-05,5.19243400536e-06,7.59709458737e-05,-1.18358091094e-05,-7.63783752229e-05,-0.000342142844122,-0.000173480256626,5.39574716354e-05,0.000497746258013,-5.61166662578e-05,0.000751183148552,-0.00139781618814,-0.00112073752828,0.000509974045881,0.00133147766585,0.00034384861054
15,30,0.500000,-2.46089341376e-05,-5.91814944871e-05,-2.62412117901e-05,7.30387467664e-06,9.32507119927e-05,-1.34543825984e-05,-4.3765281352e-05,-0.000387069010824,-0.000213337418805,7.33107802224e-05,0.000534645876633,-3.88086478624e-05,0.00121371981811,-0.00128026058496,-0.00126663620915,0.000652417404368,0.000852304979462,0.000708193353933
16,32,0.533333,-2.5298698069e-05,-7.27859566962e-05,-3.40972559239e-05,1.01442245525e-05,0.000111465604019,-1.42748333635e-05,5.37428788904e-06,-0.000426733895261,-0.00025803996316,9.77133262983e-05,0.000552860062684,-7.79407781057e-06,0.00173928093424,-0.00108173164285,-0.0014103963943,0.00081175474682,0.000211441528392,0.00116501810163
17,34,0.566667,-2.40448046846e-05,-8.7588426739e-05,-4.3525109156e-05,1.38906516649e-05,0.000129900969603,-1.37880079053e-05,7.29385175462e-05,-0.00045835505042,-0.000307456698451,0.000127651120552,0.000546939931761,4.0004614097e-05,0.00231486538951,-0.000797959975542,-0.00154838620259,0.000982974220175,-0.000593278245443,0.00171294531437
18,36,0.600000,-2.02071414105e-05,-0.000103272419162,-5.46782424057e-05,1.8733378742e-05,0.000147659963751,-1.13836358364e-05,0.000160327273964,-0.000479054725278,-0.000361330391451,0.000163408652696,0.000511449651232,0.000107540053352,0.00292366641549,-0.000427561164006,-0.00167669644075,0.00115900285311,-0.00155887911812,0.00234580104953
19,38,0.633333,-1.31088900219e-05,-0.000119425169704,-6.76993151966e-05,2.48677935762e-05,0.000163666873766,-6.3572426293e-06,0.000268319915925,-0.000485961237316,-0.000419269454177,0.000204999074884,0.000441139985063,0.000197473949421,0.00354538534691,2.76759398656e-05,-0.00179119911182,0.00133065818865,-0.00267715803263,0.0030522941092
20,40,0.666667,-2.05911534911e-06,-0.000135539648071,-8.27155801073e-05,3.24842142245e-05,0.000176676257441,2.07724915772e-06,0.000396965683966,-0.000476318508123,-0.000480741765704,0.00025209393412,0.0003311220741,0.000312003306396,0.00415666946078,0.000562590366155,-0.00188761672342,0.00148667020783,-0.00393475674118,0.00381587104528
21,42,0.700000,1.36212516441e-05,-0.000151020320799,-9.98341215262e-05,4.17553337175e-05,0.000185287813909,1.47690696479e-05,0.000545490608438,-0.000447600606068,-0.000545070983057,0.000303954847718,0.000177036174117,0.000452684902574,0.00473166122783,0.00116854937056,-0.00196160198172,0.00161377605988,-0.00531339018342,0.00461475899255
22,44,0.733333,3.45706472631e-05,-0.000165192774642,-0.000119137017491,5.28214499441e-05,0.000187966733268,3.26063507417e-05,0.000712224401234,-0.000397627856363,-0.000611435676772,0.000359369568796,-2.47897248402e-05,0.000620264431412,0.00524264322526,0.00183345518436,-0.00200882714796,0.001696888244,-0.00679022255195,0.00542220261324
23,46,0.766667,6.13560422227e-05,-0.000177317192535,-0.000140676524127,6.5773668088e-05,0.000183069106866,5.64863387317e-05,0.000894550225323,-0.000324680883129,-0.000678871597282,0.000416594878528,-0.00027719614151,0.000814516808329,0.00566076035672,0.00254186264541,-0.00202508201826,0.00171933498144,-0.00833837921801,0.00620689556028
24,48,0.800000,9.44408457733e-05,-0.000186605550849,-0.000164470391802,8.06353432942e-05,0.00016887182893,8.72805509278e-05,0.00108887958744,-0.00022760884672,-0.000746277338284,0.000473308668016,-0.000582067499968,0.0010341040626,0.00595679896498,0.00327520928648,-0.00200637917252,0.00166316961869,-0.0099275793064,0.00693360095494
25,50,0.833333,0.000134152413351,-0.000192242281565,-0.000190497430155,9.73421080314e-05,0.000143606286028,0.000125795566969,0.00129065389131,-0.000105928136668,-0.000812423612967,0.000526573436099,-0.00094023041277,0.00127645695255,0.00610200094589,0.00401215646891,-0.00194906483398,0.00150954405483,-0.0115248707895,0.00756394958286
26,52,0.866667,0.000180650063227,-0.00019340801947,-0.000218693445433,0.000115720899825,0.00010549501677,0.000172730343103,0.00149437344168,4.00921220027e-05,-0.000875966298717,0.000572813232642,-0.00135137793691,0.00153768597205,0.00606889010481,0.00472903714263,-0.0018499333955,0.00123913943169,-0.0130954475731,0.00805739899009
27,54,0.900000,0.000233894521262,-0.000189305935892,-0.00024894767759,0.000135468468729,5.27904329236e-05,0.000228631116616,0.00169365392365,0.000209361194213,-0.000935463336652,0.000607805823585,-0.00181402217123,0.00181252676788,0.0058320877497,0.00540040285827,-0.00170634341103,0.000832645703266,-0.0146035262161,0.00837233154886
28,56,0.933333,0.000293619700892,-0.000179190050086,-0.000281099866233,0.000156129898252,-1.61853732582e-05,0.000293845122104,0.0018813096182,0.000399917643202,-0.000989395495026,0.000626691549354,-0.00232547679514,0.00209432417766,0.00536909488358,0.00599965982458,-0.00151633262933,0.000271280248273,-0.0160132586905,0.00846726499302
29,58,0.966667,0.000359307688356,-0.000162394810403,-0.000314938073432,0.00017707771687,-0.000103000750795,0.000368474466282,0.00204946187332,0.000608902787479,-0.00103619092151,0.000623999998339,-0.00288187034849,0.00237505814553,0.00466101932271,0.00649978116157,-0.00127872946876,-0.000462665559624,-0.017289656965,0.00830214501087
30,60,1.000000,0.000430167741873,-0.000138365152582,-0.000350197387397,0.00019749220834,-0.000209075569336,0.000452331599229,0.00218967065056,0.000832559002296,-0.00107425332025,0.000593695229343,-0.00347819024228,0.00264541370292,0.00369322759284,0.00687408011118,-0.000993258204812,-0.0013852639273,-0.0183995051848,0.00783968633009
31,62,1.033333,0.000505120029865,-0.000106686174826,-0.00038655962403,0.000216343546599,-0.000335644270821,0.000544897873804,0.00229308632676,0.0010662546172,-0.00110199349723,0.000529239859353,-0.00410835668863,0.00289489603951,0.00245590349591,0.00709702689204,-0.000660635070619,-0.00251038522784,-0.0193122358039,0.0070467264164
32,64,1.066667,0.000582784729447,-6.71115207391e-05,-0.000423654133239,0.000232376384372,-0.000483721868101,0.000645286698897,0.00235061836669,0.00130453655354,-0.00111786392335,0.000423677894501,-0.00476532496751,0.00311199046585,0.000944497735619,0.00714509017358,-0.000282652460498,-0.00384914294737,-0.0200007471919,0.00589555449566
33,66,1.100000,0.000661476985279,-1.95895339544e-05,-0.000461059803615,0.000244097512995,-0.00065407380006,0.000752212764635,0.00235311700802,0.0015412111875,-0.0011203958721,0.000269735732251,-0.00544121372321,0.00328436581312,-0.000839944126385,0.00699758284388,0.000137751519359,-0.00540936254193,-0.0204421419248,0.00436517813962
34,68,1.133333,0.000739208093487,3.57137564829e-05,-0.00049830834277,0.000249767184342,-0.000847190464582,0.000863968748086,0.00229156372805,0.0017694532304,-0.00110823859771,5.99403111927e-05,-0.00612745632534,0.00339911856053,-0.00289058491927,0.00663749088971,0.000596440788765,-0.00719508765634,-0.0206183671495,0.00244249014375
35,70,1.166667,0.000813693129439,9.83957420153e-05,-0.000534888891369,0.000247394644118,-0.00106326714176,0.000978410797004,0.0021572659992,0.00198194170247,-0.00108019993545,-0.000213247058514,-0.00681497174923,0.00344305375777,-0.00519473643314,0.0060522638228,0.00108804876874,-0.00920613676308,-0.0205167410075,0.000123299868682
36,72,1.200000,0.000882365085391,0.000167803310949,-0.000570254006918,0.000234738369641,-0.00130218989302,0.00109295393826,0.00194205169578,0.00217102135705,-0.00103528762738,-0.00055728307641,-0.00749435094488,0.00340299765056,-0.00773393986961,0.00523454519072,0.00160596779021,-0.0114377225948,-0.0201303520567,-0.00258680441372
37,74,1.233333,0.000942395428404,0.000243024707758,-0.000603827028928,0.000209311435312,-0.00156352788048,0.0012045783695,0.0016384584889,0.00232888720412,-0.000972750608847,-0.000979383334842,-0.00815605428047,0.00326613585224,-0.0104841851263,0.00418282230858,0.00214236231673,-0.013880145779,-0.0194583218582,-0.00567179238175
38,76,1.266667,0.000990720834507,0.000322887897809,-0.000635010810586,0.000168392346371,-0.00184653239876,0.00130984737091,0.00123991366119,0.00244778910195,-0.000892119434488,-0.00148635435517,-0.00879061537503,0.00302036996103,-0.0134162643053,0.00290197543613,0.00268820748741,-0.0165185728548,-0.0185059243253,-0.00910475388871
39,78,1.300000,0.00102407570575,0.000405966048055,-0.000663197773855,0.000109041587605,-0.00215014275199,0.00140493732314,0.000740899984704,0.00252025275064,-0.000793244978942,-0.00208441974434,-0.00938884647986,0.00265468472711,-0.0164962514036,0.00140370818652,0.00323335405815,-0.0193329073847,-0.0172845589663,-0.0128477079314
40,80,1.333333,0.00103902993641,0.00049059060202,-0.000687781215557,2.81240300363e-05,-0.00247299894622,0.00148568004277,0.000137103628373,0.00253931284518,-0.000676334519428,-0.00277904370247,-0.00994204053234,0.0021595172485,-0.0196860969226,-0.000293157034758,0.00376662034534,-0.0222977611897,-0.0158115787292,-0.0168516743507
41,82,1.366667,0.00103203126684,0.000574872277141,-0.000708167761922,-7.76627728195e-05,-0.00281346100577,0.00154761735466,-0.000574459512889,0.00249875364429,-0.000541984295626,-0.00357475531616,-0.0104421650881,0.00152711923754,-0.0229443232112,-0.00216253233737,0.00427591126368,-0.0253825308743,-0.0141099766644,-0.0210570183649
42,84,1.400000,0.000999451451239,0.00065673014701,-0.00072379083894,-0.000211754484728,-0.00316963456487,0.00158606751645,-0.00139534215776,0.00239335179701,-0.00039120764815,-0.00447497721139,-0.0108820435356,0.000751903166659,-0.026226803793,-0.00417107738104,0.00474836400846,-0.0285515827981,-0.0122079390018,-0.025394071783
43,86,1.433333,0.000937635372375,0.000733928793227,-0.000734124996203,-0.000377680288857,-0.00353940223736,0.00159620280314,-0.00232559114094,0.00221911595339,-0.000225457861286,-0.00548186221045,-0.0112555193032,-0.000169236919298,-0.0294876077915,-0.00627838000691,0.00517051937314,-0.0317645475344,-0.0101382754027,-0.0297840282688
44,88,1.466667,0.000842952163747,0.00080412332508,-0.000738700893393,-0.000579017920405,-0.00392046013051,0.00157313725449,-0.00336370191275,0.00197351747875,-4.66448787879e-05,-0.00659614163556,-0.0115575991793,-0.00123663893892,-0.0326798889045,-0.0084373089649,0.00552851712512,-0.0349767226747,-0.00793774002433,-0.0341401034661
45,90,1.500000,0.000711847350153,0.000864911873745,-0.000737120731804,-0.000819343878479,-0.00431035874768,0.00151202329319,-0.00450660316392,0.00165570649945,0.000142854876355,-0.00781698882698,-0.0117845723618,-0.00244762925813,-0.0357567972351,-0.0105945396759,0.00580831329922,-0.0381395806331,-0.00564625956741,-0.0383689443115
46,92,1.533333,0.00054089499222,0.000913894975118,-0.000729073888903,-0.00110217938283,-0.0047065474208,0.00140815564504,-0.00574967196696,0.00126670753832,0.000340196266606,-0.00914190129517,-0.0119341024323,-0.0037963300927,-0.0386723916789,-0.0126912502869,0.00599591672025,-0.041201375921,-0.00330608660268,-0.0423722655853
47,94,1.566667,0.000326848819812,0.000948741065895,-0.00071435249255,-0.00143093275171,-0.00510642133069,0.00125708073886,-0.00708677907935,0.000809589151367,0.000542071378876,-0.0105666047063,-0.0120052900888,-0.00527352496745,-0.0413825305198,-0.0146639815487,0.00607764154528,-0.044107844243,-0.000960898154048,-0.0460486858464
48,96,1.600000,6.6691363497e-05,0.000967257135259,-0.000692866653681,-0.0018088389794,-0.00550737011233,0.00105470954289,-0.00851036331388,0.000289602255417,0.000744724112365,-0.0120849816112,-0.0119987051614,-0.00686658834828,-0.0438457183923,-0.0164456503505,0.00604037213445,-0.0468029837522,0.00134513928889,-0.0492957294815
