time_s,qpos_J1_m,qpos_J2_m,qpos_J3_m,qpos_J4_rad,qpos_J5_rad,qpos_J6_rad,qvel_J1_ms,qvel_J2_ms,qvel_J3_ms,qvel_J4_rads,qvel_J5_rads,qvel_J6_rads,qacc_J1_ms2,qacc_J2_ms2,qacc_J3_ms2,qacc_J4_rads2,qacc_J5_rads2,qacc_J6_rads2
0.166667,-8.69873554072e-07,-9.15267236034e-07,-2.77909422571e-07,1.09859995533e-07,1.72070216636e-06,-2.06923885308e-07,-1.96351857201e-05,-2.19685025536e-05,-6.8774097202e-06,2.2329193631e-06,4.07522206397e-05,-5.68919937731e-06,-0.000312049419969,-0.000392119055608,-0.000129726137758,3.06528590161e-05,0.000708925413412,-0.000118761034802
0.183333,-1.24314848464e-06,-1.34021052659e-06,-4.12148087763e-07,1.51589935015e-07,2.50579963896e-06,-3.19732307932e-07,-2.52002305413e-05,-2.91556702364e-05,-9.28734440028e-06,2.77749160145e-06,5.3663427617e-05,-7.90315033205e-06,-0.000354099410985,-0.000469721911431,-0.000159543265361,3.46698673207e-05,0.000838619170761,-0.000146743991162
0.200000,-1.7150174371e-06,-1.89617098853e-06,-5.90930687601e-07,2.02997500594e-07,3.52470639181e-06,-4.73466630423e-07,-3.14352929369e-05,-3.76766699445e-05,-1.22231473509e-05,3.39409172903e-06,6.87722678052e-05,-1.0595396763e-05,-0.000392031593254,-0.000551747171007,-0.000192729151136,3.93320407127e-05,0.00097179452415,-0.000175900994486
0.216667,-2.29601235696e-06,-2.60598526879e-06,-8.23506637972e-07,2.65389632798e-07,4.814480484e-06,-6.76228878051e-07,-3.82572772354e-05,-4.75967592017e-05,-1.57411990729e-05,4.09614087774e-06,8.61159990504e-05,-1.37770717038e-05,-0.000424125712178,-0.000637149589184,-0.000229297086263,4.49646454108e-05,0.00110592494986,-0.000205190521147
0.233333,-2.99503822909e-06,-3.49342881037e-06,-1.12006744478e-06,3.40344712276e-07,6.41244276757e-06,-9.36154405432e-07,-4.55543863095e-05,-5.89628562363e-05,-1.9897920654e-05,4.9028532061e-06,0.000105688439892,-1.74406032281e-05,-0.000448667652116,-0.000724778992162,-0.000269238512955,5.19349039345e-05,0.00123833794524,-0.000233415915617
0.250000,-3.81889590722e-06,-4.58289553261e-06,-1.49174430147e-06,4.29814689823e-07,8.35543275126e-06,-1.26107878045e-06,-5.3186426998e-05,-7.18018731119e-05,-2.47494027004e-05,5.83985902247e-06,0.000127437785236,-2.1557264847e-05,-0.000463973704153,-0.000813390638209,-0.000312522277316,6.06426517463e-05,0.00136624542601,-0.000259242560539
0.266667,-4.7718134094e-06,-5.89905118102e-06,-1.95059939023e-06,5.36236295521e-07,1.06790322648e-05,-1.65816626631e-06,-6.09855178745e-05,-8.61192313081e-05,-3.03510222608e-05,6.93966810507e-06,0.000151264934878,-2.60750304282e-05,-0.000468414464072,-0.000901656699069,-0.000359093939159,7.15105501826e-05,0.00148677472483,-0.000281217152675
0.283333,-5.8549923351e-06,-7.46646354411e-06,-2.50961069462e-06,6.62648601269e-07,1.34167655578e-05,-2.13350526891e-06,-6.87571914363e-05,-0.000101897577669,-3.67570487539e-05,8.24196651997e-06,0.000177022342765,-3.09167669644e-05,-0.000460438151785,-0.000988178766043,-0.000408875145991,8.49739410232e-05,0.00159699993669,-0.000297788863144
0.300000,-7.06617589846e-06,-9.3092130204e-06,-3.18265014937e-06,8.12814111137e-07,1.65992845624e-05,-2.69167664153e-06,-7.62818793686e-05,-0.000119095716971,-4.40202400322e-05,9.79374168385e-06,0.000204513390713,-3.59787947021e-05,-0.000438593151673,-0.00107150127704,-0.000461763078664,0.00010147043043,0.0016939733599,-0.000307332146716
0.316667,-8.39924485548e-06,-1.14504872754e-05,-3.98445497304e-06,9.91340478604e-07,2.02535480785e-05,-3.33530119818e-06,-8.33167662695e-05,-0.000137647775572,-5.21914298434e-05,1.16492318987e-05,0.000233492286079,-4.11298401142e-05,-0.000401549582777,-0.0011501257539,-0.00051762997646,0.000121429291794,0.00177475678596,-0.000308170953241
0.333333,-9.84384733261e-06,-1.39121639534e-05,-4.93059205132e-06,1.20379989932e-06,2.44020035952e-05,-4.06457317762e-06,-8.95979941165e-05,-0.000157462608699,-6.13191080817e-05,1.38696980915e-05,0.000263664478876,-4.62104029957e-05,-0.000348119718429,-0.00122252573314,-0.000576322749543,0.000145260778255,0.00183645239805,-0.00029860408461
0.350000,-1.1385068244e-05,-1.67143856035e-05,-6.03741526319e-06,1.45684320281e-06,2.90617803549e-05,-4.87678671884e-06,-9.4843196843e-05,-0.000178423461939,-7.14489953539e-05,1.65230170138e-05,0.000294687589823,-5.1032554609e-05,-0.00027727708665,-0.00128716226778,-0.00063766268683,0.000173345436298,0.0018762330454,-0.000276931433031
0.366667,-1.30031436171e-05,-1.98751311358e-05,-7.32201566864e-06,1.75830566692e-06,3.42439020935e-05,-5.76586265477e-06,-9.87543416803e-05,-0.000200387895405,-8.26236135217e-05,1.96830966822e-05,0.000326172837041,-5.53801793465e-05,-0.000188174095371,-0.00134249987342,-0.000701445267322,0.000206023511863,0.00189137166964,-0.000241480830858
0.383333,-1.46732247355e-05,-2.34097882511e-05,-8.80216450567e-06,2.11730160455e-06,3.99525276515e-05,-6.72188310079e-06,-0.00010102085143,-0.000223187976931,-9.4881854013e-05,2.34291163647e-05,0.00035768694543,-5.90096678441e-05,-8.0158040122e-05,-0.00138702278793,-0.000767440082909,0.000243584539899,0.00187926966958,-0.000190635238733
0.400000,-1.63651965578e-05,-2.73307313701e-05,-1.04962489751e-05,2.54430482318e-06,4.61842273577e-05,-7.73064140944e-06,-0.000101322979572,-0.00024663074839,-0.00010825854583,2.78445949265e-05,0.000388754519309,-6.16510648998e-05,4.72146337683e-05,-0.00141925141155,-0.000835390880465,0.000286257207129,0.00183748400219,-0.000122859997439
0.416667,-1.80435543843e-05,-3.16469096436e-05,-1.24232008253e-05,3.05121213416e-06,5.29273027347e-05,-8.77321507996e-06,-9.9335408114e-05,-0.000270498967046,-0.000122784025309,3.30162928353e-05,0.000418860855616,-6.30096709734e-05,0.000194165927391,-0.00143775879172,-0.000905015730856,0.000334199576145,0.00176375282997,-3.67298695492e-05
0.433333,-1.96673422267e-05,-3.63634496331e-05,-1.46024177836e-05,3.65138718887e-06,6.01611566691e-05,-9.82556915329e-06,-9.47310363022e-05,-0.000294552121531,-0.000138483709812,3.9032954577e-05,0.000447455171903,-6.27680914894e-05,0.000360685840201,-0.00144118701668,-0.000976007332129,0.00038748975668,0.00165601953832,6.90444003237e-05
0.450000,-2.1190155791e-05,-4.14812772277e-05,-1.70536779201e-05,4.359682044e-06,6.78557207365e-05,-1.08581974886e-05,-8.71849268688e-05,-0.000318527719804,-0.000155377677646,4.59838996467e-05,0.000473954220547,-6.05887236732e-05,0.000546523958959,-0.00142826338109,-0.00104803345375,0.000446117107102,0.00151245496089,0.000195590273117
0.466667,-2.25602124153e-05,-4.69967633015e-05,-1.97970470663e-05,5.19243400536e-06,7.59709458737e-05,-1.18358091094e-05,-7.63783752229e-05,-0.000342142844122,-0.000173480256626,5.39574716354e-05,0.000497746258013,-5.61166662578e-05,0.000751183148552,-0.00139781618814,-0.00112073752828,0.000509974045881,0.00133147766585,0.00034384861054
0.483333,-2.37204897216e-05,-5.29013975095e-05,-2.28527794554e-05,6.1674354699e-06,8.44563620472e-05,-1.27170665272e-05,-6.20030660815e-05,-0.000365095965873,-0.000192799623779,6.3039356236e-05,0.000518195335671,-4.8983033128e-05,0.000973915392983,-0.00134879005426,-0.00119373939619,0.000578848548922,0.00111177217196,0.000514550129119
0.500000,-2.46089341376e-05,-5.91814944871e-05,-2.62412117901e-05,7.30387467664e-06,9.32507119927e-05,-1.34543825984e-05,-4.3765281352e-05,-0.000387069010824,-0.000213337418805,7.33107802224e-05,0.000534645876633,-3.88086478624e-05,0.00121371981811,-0.00128026058496,-0.00126663620915,0.000652417404368,0.000852304979462,0.000708193353933
0.516667,-2.51587398418e-05,-6.58179365393e-05,-2.99826509913e-05,8.62224548793e-06,0.000102281663493,-1.39937820546e-05,-2.13901226988e-05,-0.000407729663253,-0.000235088373968,8.48466046127e-05,0.000546427501285,-2.52080922066e-05,0.00146934291099,-0.00119144829405,-0.00133900349585,0.000730240291708,0.000552338317693,0.000925024300752
0.533333,-2.5298698069e-05,-7.27859566962e-05,-3.40972559239e-05,1.01442245525e-05,0.000111465604019,-1.42748333635e-05,5.37428788904e-06,-0.000426733895261,-0.00025803996316,9.77133262983e-05,0.000552860062684,-7.79407781057e-06,0.00173928093424,-0.00108173164285,-0.0014103963943,0.00081175474682,0.000211441528392,0.00116501810163
0.550000,-2.49536161037e-05,-8.00549657659e-05,-3.86049134438e-05,1.18925144482e-05,0.000120707520913,-1.42306560368e-05,3.6752666042e-05,-0.000443728705606,-0.000282172072951,0.000111967003407,0.000553258851818,1.38178929068e-05,0.00202178451712,-0.000950659080808,-0.00148035105295,0.000896272069017,-0.000170499978885,0.00142786277372
0.566667,-2.40448046846e-05,-8.7588426739e-05,-4.3525109156e-05,1.38906516649e-05,0.000129900969603,-1.37880079053e-05,7.29385175462e-05,-0.00045835505042,-0.000307456698451,0.000127651120552,0.000546939931761,4.0004614097e-05,0.00231486538951,-0.000797959975542,-0.00154838620259,0.000982974220175,-0.000593278245443,0.00171294531437
0.583333,-2.24906319419e-05,-9.53437795872e-05,-4.88767933225e-05,1.61627785642e-05,0.00013892813165,-1.28674562311e-05,0.00011409022085,-0.000470250946393,-0.000333857666843,0.000144794410903,0.000533225559171,7.1130052267e-05,0.00261630520887,-0.000623554326454,-0.0016140048997,0.00107091175978,-0.00105635878483,0.00201934028786
0.600000,-2.02071414105e-05,-0.000103272419162,-5.46782424057e-05,1.8733378742e-05,0.000147659963751,-1.13836358364e-05,0.000160327273964,-0.000479054725278,-0.000361330391451,0.000163408652696,0.000511449651232,0.000107540053352,0.00292366641549,-0.000427561164006,-0.00167669644075,0.00115900285311,-0.00155887911812,0.00234580104953
0.616667,-1.71087310954e-05,-0.000111319728532,-6.09469167805e-05,2.16269755166e-05,0.000155956438092,-9.24559669062e-06,0.00021172673897,-0.00048440841701,-0.000389821659185,0.000183486458359,0.000480963256084,0.000149556926187,0.00323430503666,-0.000210305544626,-0.00173593844628,0.00124603338302,-0.00209964981716,0.00269075373359
0.633333,-1.31088900219e-05,-0.000119425169704,-6.76993151966e-05,2.48677935762e-05,0.000163666873766,-6.3572426293e-06,0.000268319915925,-0.000485961237316,-0.000419269454177,0.000204999074884,0.000441139985063,0.000197473949421,0.00354538534691,2.76759398656e-05,-0.00179119911182,0.00133065818865,-0.00267715803263,0.0030522941092
0.650000,-8.1209881882e-06,-0.000127522433271,-7.49508266171e-05,2.84793841295e-05,0.000170630358272,-2.61786207931e-06,0.000330089276264,-0.000483373154393,-0.000449602820366,0.000227894214399,0.000391381365558,0.000251549850479,0.00385389627801,0.000285631210101,-0.00184193962211,0.00141140344723,-0.00328957346768,0.00342818738823
0.666667,-2.05911534911e-06,-0.000135539648071,-8.27155801073e-05,3.24842142245e-05,0.000176676257441,2.07724915772e-06,0.000396965683966,-0.000476318508123,-0.000480741765704,0.00025209393412,0.0003311220741,0.000312003306396,0.00415666946078,0.000562590366155,-0.00188761672342,0.00148667020783,-0.00393475674118,0.00381587104528
0.683333,5.16103639446e-06,-0.000143399651519,-9.100629349e-05,3.69032212203e-05,0.000181624811442,7.83607385045e-06,0.000468825930634,-0.000464489654367,-0.000512597210603,0.000277492584915,0.000259835010372,0.000379007517149,0.00445039876931,0.000857365025199,-0.0019276854478,0.00155473907838,-0.00461027006993,0.00421246068799
0.700000,1.36212516441e-05,-0.000151020320799,-9.98341215262e-05,4.17553337175e-05,0.000185287813909,1.47690696479e-05,0.000545490608438,-0.000447600606068,-0.000545070983057,0.000303954847718,0.000177036174117,0.000452684902574,0.00473166122783,0.00116854937056,-0.00196160198172,0.00161377605988,-0.00531339018342,0.00461475899255
0.716667,2.33998382138e-05,-0.000158314964598,-0.000109208504421,4.70569605735e-05,0.000187469370579,2.29882782444e-05,0.000626722342436,-0.00042539064235,-0.000578055862816,0.000331313876818,8.22893084878e-05,0.000533101974003,0.00499693913167,0.00149452294186,-0.00198882667044,0.00166183951413,-0.00604112337162,0.00501926769593
0.733333,3.45706472631e-05,-0.000165192774642,-0.000119137017491,5.28214499441e-05,0.000187966733268,3.26063507417e-05,0.000712224401234,-0.000397627856363,-0.000611435676772,0.000359369568796,-2.47897248402e-05,0.000620264431412,0.00524264322526,0.00183345518436,-0.00200882714796,0.001696888244,-0.00679022255195,0.00542220261324
