id,aabb_scale,total_mass,cx,cy,cz,ixx,iyy,izz,ixy,iyz,izx,pixx,piyy,pizz,rx,ry,rz
teapot_ceramic_lid_ceramic,0.0911992071249684,0.544958581824244,-0.00778412274366032,3.77536565401596E-08,-0.0134668827166505,0.000782360686939789,0.000948087583635042,0.00107793554451547,-1.14319372888736E-09,-8.90751599958209E-11,1.81657144587488E-06,0.000782349522899864,0.000948087583642848,0.00107794670854759,-7.40124341141458E-07,-0.00614558350190201,-6.88962403068713E-06
component_name,mass,mass_density
pot:1,0.47684862883443,3400
lid:1,0.0681099529898143,3400
