id,aabb_scale,total_mass,cx,cy,cz,ixx,iyy,izz,ixy,iyz,izx,pixx,piyy,pizz,rx,ry,rz
complete-assembly-tire-1.snapshot.1,0.441232716210782,37.4510437115588,0.00578059958614819,-2.73959858957392E-07,3.02837193895531E-08,1.92388792441856,1.26454395256401,1.26454436245126,4.26627585067078E-07,9.92734146485969E-06,3.5053165716805E-08,1.92388792441884,1.26453422805081,1.26455408696418,0.775077448671452,4.90608144794538E-07,-4.24879116695623E-07
component_name,mass,mass_density
Rin:1,12.7346059994236,2700
Llanta:1,24.7164377121352,930
