id,aabb_scale,total_mass,cx,cy,cz,ixx,iyy,izz,ixy,iyz,izx,pixx,piyy,pizz,rx,ry,rz
sledgehammer-10.snapshot.2,0.195004812176059,1.11609903217039,4.89478732731772E-09,-4.81303008557478E-09,0.152584356579141,0.00696463391818148,0.00623396717396097,0.00100080139201301,-4.73672082094748E-12,5.99935256431521E-11,-2.54439358636812E-10,0.00696463391818149,0.00623396717396097,0.001000801392013,0,-4.2146848510894E-08,0
component_name,mass,mass_density
Handle:2,0.134850873772987,630
Slegdehammer:2,0.981248158397403,7730
