id,aabb_scale,total_mass,cx,cy,cz,ixx,iyy,izz,ixy,iyz,izx,pixx,piyy,pizz,rx,ry,rz
rubber-mallet-1.snapshot.9,0.160000000038799,0.59987575518521,8.9359507076339E-09,-9.66875697608675E-09,0.0907103941320944,0.00401218925244075,0.00368130829551541,0.000612750032362662,-1.48383173565303E-10,5.61981214397817E-11,-9.55824182679935E-12,0.00401218925244081,0.00368130829551535,0.000612750032362661,-1.49011611938477E-08,1.49011611938477E-08,4.48769937347642E-07
component_name,mass,mass_density
Solid1:1,0.463842621600654,1250
Solid2:1,0.136033133584556,760
